stress_level,anchor,other,metric,n_pairs,median_a,median_b,mean_a,mean_b,median_diff,median_rel_diff_pct,wilcoxon_W,wilcoxon_p,ttest_t,ttest_p,cliffs_delta,holm_p,classification
moderate,full_stack,random,resilience_loss_area,30,0.0,0.0,23.736455371831237,23.87071064188178,0.0,0.0,18.0,0.5536169011264054,-0.08810299365507775,0.9322527766079891,0.0033333333333333335,1.0,INCONCLUSIVE
moderate,full_stack,random,resilience_time_to_90pct_restoration,30,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,INCONCLUSIVE
moderate,full_stack,random,stress_critical_load_interrupted_mw,30,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,INCONCLUSIVE
moderate,full_stack,random,stress_critical_load_restored_mw,30,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,INCONCLUSIVE
moderate,full_stack,random,stress_cum_feasible_restoration_mw,30,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,INCONCLUSIVE
moderate,full_stack,random,stress_cum_unserved_restoration_mw,30,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,INCONCLUSIVE
moderate,full_stack,random,stress_restoration_rate,30,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,INCONCLUSIVE
moderate,full_stack,random,ens,30,50.0,50.0,50.0,50.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,INCONCLUSIVE
moderate,full_stack,random,restoration_time_seconds,30,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,INCONCLUSIVE
moderate,full_stack,random,critical_load_restored_pct,30,100.0,100.0,100.0,100.0,0.0,0.0,0.0,1.0,0.0,0.99999998064714,-0.0022222222222222222,1.0,INCONCLUSIVE
moderate,full_stack,random,switching_operations,30,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,INCONCLUSIVE
moderate,full_stack,random,frequency_deviation_count,30,5831.0,5684.0,6038.433333333333,5868.566666666667,147.0,2.586206896551724,212.5,0.6732798887572622,1.9061916386293838,0.06587290054271544,0.1,1.0,INCONCLUSIVE
moderate,full_stack,random,actions_taken,30,200.0,200.0,200.0,200.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,INCONCLUSIVE
moderate,full_stack,random,runtime_s,30,1.2389999999999999,1.0457999999999998,1.3500733333333332,1.1351966666666666,0.19320000000000004,18.473895582329323,57.0,0.0002946429133625639,3.3232574535056045,0.0013431919715558571,0.5844444444444444,0.1051875200704353,INCONCLUSIVE
moderate,full_stack,random,controller_runtime_s,30,0.12669999999999998,0.00175,0.13164333333333333,0.0017933333333333334,0.12494999999999998,7139.999999999998,0.0,1.6499006192383092e-06,35.33997906222638,0.0,1.0,0.0006335618377875107,SUPPORTED
moderate,full_stack,random,power_flow_runtime_s,30,0.4255,0.44165,0.46416666666666667,0.47953,-0.016149999999999998,-3.6567417638401447,217.0,0.7420852124537265,-0.5767287076642902,0.5778784186090133,-0.01,1.0,INCONCLUSIVE
moderate,full_stack,rule_based,stress_cumulative_unserved_energy,30,0.0,0.0,6.6112518482176865,6.480048869872104,0.0,0.0,19.0,0.6355861493909851,0.6036980654448885,0.5602237732764839,-0.0011111111111111111,1.0,INCONCLUSIVE
moderate,full_stack,rule_based,resilience_time_to_50pct_restoration,30,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,INCONCLUSIVE
moderate,full_stack,rule_based,stress_critical_load_restored_pct,30,100.0,100.0,100.0,100.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,INCONCLUSIVE
moderate,full_stack,rule_based,saidi,30,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,INCONCLUSIVE
moderate,full_stack,rule_based,saifi,30,0.10204081632653061,0.10204081632653061,0.10204081632653061,0.10204081632653061,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,INCONCLUSIVE
moderate,full_stack,rule_based,voltage_violation_count,30,0.0,0.0,29.433333333333334,29.433333333333334,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,INCONCLUSIVE
moderate,full_stack,rule_based,line_overload_count,30,0.0,0.0,0.3333333333333333,0.23333333333333334,0.0,0.0,1.0,0.18144933362741567,0.7217742609932383,0.4861526116238444,0.034444444444444444,1.0,INCONCLUSIVE
moderate,full_stack,rule_based,number_of_islands,30,1.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,INCONCLUSIVE
moderate,full_stack,rule_based,resilience_loss_area,30,0.0,0.0,23.736455371831237,23.87071064188178,0.0,0.0,18.0,0.5536169011264054,-0.08810299365507775,0.9322527766079891,0.0033333333333333335,1.0,INCONCLUSIVE
moderate,full_stack,rule_based,resilience_time_to_90pct_restoration,30,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,INCONCLUSIVE
moderate,full_stack,rule_based,stress_critical_load_interrupted_mw,30,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,INCONCLUSIVE
moderate,full_stack,rule_based,stress_critical_load_restored_mw,30,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,INCONCLUSIVE
moderate,full_stack,rule_based,stress_cum_feasible_restoration_mw,30,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,INCONCLUSIVE
moderate,full_stack,rule_based,stress_cum_unserved_restoration_mw,30,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,INCONCLUSIVE
moderate,full_stack,rule_based,stress_restoration_rate,30,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,INCONCLUSIVE
moderate,full_stack,rule_based,ens,30,50.0,50.0,50.0,50.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,INCONCLUSIVE
moderate,full_stack,rule_based,restoration_time_seconds,30,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,INCONCLUSIVE
moderate,full_stack,rule_based,critical_load_restored_pct,30,100.0,100.0,100.0,100.0,0.0,0.0,0.0,1.0,0.0,0.99999998064714,-0.0022222222222222222,1.0,INCONCLUSIVE
moderate,full_stack,rule_based,switching_operations,30,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,INCONCLUSIVE
moderate,full_stack,rule_based,frequency_deviation_count,30,5831.0,5684.0,6038.433333333333,5868.566666666667,147.0,2.586206896551724,212.5,0.6732798887572622,1.9061916386293838,0.06587290054271544,0.1,1.0,INCONCLUSIVE
moderate,full_stack,rule_based,actions_taken,30,200.0,200.0,200.0,200.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,INCONCLUSIVE
moderate,full_stack,rule_based,runtime_s,30,1.2389999999999999,0.8935500000000001,1.3500733333333332,0.9387766666666667,0.3454499999999998,38.66039952996472,9.0,4.083417190159366e-06,7.440457171902301,7.056577544517495e-13,0.9444444444444444,0.0014741136056475312,SUPPORTED
moderate,full_stack,rule_based,controller_runtime_s,30,0.12669999999999998,0.004,0.13164333333333333,0.005206666666666667,0.12269999999999998,3067.4999999999995,0.0,1.6499006192383092e-06,33.19954054146158,0.0,1.0,0.0006335618377875107,SUPPORTED
moderate,full_stack,rule_based,power_flow_runtime_s,30,0.4255,0.3744,0.46416666666666667,0.39346,0.05109999999999998,13.648504273504267,48.0,0.00014177061662645762,3.1882740744550984,0.0020955154880386573,0.72,0.05075388075227183,INCONCLUSIVE
moderate,full_stack,dqn_core_only,stress_cumulative_unserved_energy,30,0.0,0.0,6.6112518482176865,6.6112518482176865,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,INCONCLUSIVE
moderate,full_stack,dqn_core_only,resilience_time_to_50pct_restoration,30,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,INCONCLUSIVE
moderate,full_stack,dqn_core_only,stress_critical_load_restored_pct,30,100.0,100.0,100.0,100.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,INCONCLUSIVE
moderate,full_stack,dqn_core_only,saidi,30,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,INCONCLUSIVE
moderate,full_stack,dqn_core_only,saifi,30,0.10204081632653061,0.10204081632653061,0.10204081632653061,0.10204081632653061,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,INCONCLUSIVE
moderate,full_stack,dqn_core_only,voltage_violation_count,30,0.0,0.0,29.433333333333334,29.433333333333334,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,INCONCLUSIVE
moderate,full_stack,dqn_core_only,line_overload_count,30,0.0,0.0,0.3333333333333333,0.3333333333333333,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,INCONCLUSIVE
moderate,full_stack,dqn_core_only,number_of_islands,30,1.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,INCONCLUSIVE
moderate,full_stack,dqn_core_only,resilience_loss_area,30,0.0,0.0,23.736455371831237,23.736455371831237,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,INCONCLUSIVE
moderate,full_stack,dqn_core_only,resilience_time_to_90pct_restoration,30,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,INCONCLUSIVE
moderate,full_stack,dqn_core_only,stress_critical_load_interrupted_mw,30,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,INCONCLUSIVE
moderate,full_stack,dqn_core_only,stress_critical_load_restored_mw,30,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,INCONCLUSIVE
moderate,full_stack,dqn_core_only,stress_cum_feasible_restoration_mw,30,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,INCONCLUSIVE
moderate,full_stack,dqn_core_only,stress_cum_unserved_restoration_mw,30,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,INCONCLUSIVE
moderate,full_stack,dqn_core_only,stress_restoration_rate,30,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,INCONCLUSIVE
moderate,full_stack,dqn_core_only,ens,30,50.0,50.0,50.0,50.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,INCONCLUSIVE
