stress_level,controller_label,seed,valid,invalid_reason,n_faults,saifi,saidi,maifi,asai,ens,restoration_time_seconds,critical_load_total_mw,critical_load_restored_mw,critical_load_restored_pct,total_load_mw,successful_restoration_count,n_faults,number_of_islands,isolated_nodes,switching_operations,actions_taken,illegal_actions_attempted,load_shedding_events,battery_dispatch_events,minimum_voltage_pu,maximum_voltage_pu,average_voltage_pu,voltage_violation_count,frequency_deviation_count,line_overload_count,generation_mw,operating_cost_usd,outage_cost_usd,carbon_kg,runtime_s,controller_runtime_s,power_flow_runtime_s,stress_cumulative_unserved_energy,stress_max_unserved_load_mw,stress_cum_unserved_restoration_mw,stress_cum_feasible_restoration_mw,resilience_loss_area,resilience_time_to_50pct_restoration,resilience_time_to_90pct_restoration,stress_critical_load_total_mw,stress_critical_load_interrupted_mw,stress_critical_load_restored_mw,stress_critical_load_restored_pct,stress_restoration_rate,stress_n_faults,stress_n_restored
moderate,persistence,0,True,,4,0.08163265306122448,0.0,31.0,-3.0,40.0,0.0,1.3784,1.3784,100.0,21.7381,0,4,1,0,0,0,0,0,0,0.95,1.0,0.961428571428572,0,1519,0,29.3446,0.0,0.0,0.0,0.1897,0.0,0.0799,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,100.0,0.0,4,0
moderate,persistence,1,True,,5,0.10204081632653061,0.0,36.0,-4.0,50.0,0.0,1.4389,1.4389,100.0,22.0461,0,5,1,0,0,0,0,0,0,0.95,1.0,0.961428571428572,0,1764,0,30.0399,0.0,0.0,0.0,0.3474,0.0,0.1587,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,100.0,0.0,5,0
moderate,rule_based,0,True,,4,0.08163265306122448,0.0,31.0,-3.0,40.0,0.0,1.3784,1.3784,100.0,21.7381,0,4,1,0,0,40,0,0,0,0.95,1.0,0.961428571428572,0,1519,0,29.3446,0.0,0.0,0.0,0.1929,0.01,0.0789,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,100.0,0.0,4,0
moderate,rule_based,1,True,,5,0.10204081632653061,0.0,36.0,-4.0,50.0,0.0,1.4389,1.4389,100.0,22.0461,0,5,1,0,0,40,0,0,0,0.95,1.0,0.961428571428572,0,1764,0,30.0399,0.0,0.0,0.0,0.2215,0.0,0.0942,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,100.0,0.0,5,0
moderate,dqn_core_only,0,True,,4,0.08163265306122448,0.0,32.0,-3.0,40.0,0.0,1.3235,1.3235,100.0,21.232,0,4,1,0,0,40,0,0,0,0.95,1.0,0.961428571428572,0,1568,0,29.2964,0.0,0.0,0.0,0.2572,0.0277,0.1009,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,100.0,0.0,4,0
moderate,dqn_core_only,1,True,,5,0.10204081632653061,0.0,33.0,-4.0,50.0,0.0,1.253,1.253,100.0,21.6739,0,5,1,0,0,40,0,0,0,0.95,1.0,0.961428571428572,0,1617,0,29.9194,0.0,0.0,0.0,0.288,0.021,0.1176,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,100.0,0.0,5,0
moderate,full_stack,0,True,,4,0.08163265306122448,0.0,32.0,-3.0,40.0,0.0,1.3235,1.3235,100.0,21.232,0,4,1,0,0,40,0,0,0,0.95,1.0,0.961428571428572,0,1568,0,29.2964,0.0,0.0,0.0,0.6218,0.0376,0.2382,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,100.0,0.0,4,0
moderate,full_stack,1,True,,5,0.10204081632653061,0.0,33.0,-4.0,50.0,0.0,1.253,1.253,100.0,21.6739,0,5,1,0,0,40,0,0,0,0.95,1.0,0.961428571428572,0,1617,0,29.9194,0.0,0.0,0.0,0.5773,0.0368,0.2331,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,100.0,0.0,5,0
