policy,metric,nominal_n,nominal_mean,nominal_sd,nominal_median,nominal_iqr,moderate_n,moderate_mean,moderate_sd,moderate_median,moderate_iqr,severe_n,severe_mean,severe_sd,severe_median,severe_iqr
full_stack,maximum_voltage_pu,100,1.0,0.0,1.0,0.0,30,1.0,0.0,1.0,0.0,30,1.0,0.0,1.0,0.0
full_stack,successful_restoration_count,100,0.0,0.0,0.0,0.0,30,0.0,0.0,0.0,0.0,30,0.0,0.0,0.0,0.0
full_stack,controller_runtime_s,100,0.119069,0.0105918941276865,0.118,0.0133749999999999,30,0.4387466666666667,0.0682462515496251,0.4118,0.0919749999999999,30,0.4074033333333333,0.1208361942903479,0.3516,0.1488
full_stack,runtime_s,100,1.570448,0.1242218433271538,1.55825,0.1618999999999999,30,1.3604433333333332,0.1795782082688694,1.29735,0.1465,30,1.2452433333333337,0.2843584208455011,1.12705,0.3708249999999999
no_lstm,ens,100,30.0,0.0,30.0,0.0,30,50.0,0.0,50.0,0.0,30,79.66666666666667,1.8257418583505545,80.0,0.0
no_lstm,saidi,100,0.0,0.0,0.0,0.0,30,0.0,0.0,0.0,0.0,30,0.0,0.0,0.0,0.0
no_lstm,saifi,100,0.0612244897959183,6.973850769498386e-18,0.0612244897959183,0.0,30,0.1020408163265305,2.823006427041851e-17,0.1020408163265306,0.0,30,0.1625850340136055,0.0037260037925521,0.1632653061224489,0.0
no_lstm,restoration_time_seconds,100,0.0,0.0,0.0,0.0,30,0.0,0.0,0.0,0.0,30,0.0,0.0,0.0,0.0
no_lstm,critical_load_restored_pct,100,100.0,5.3440020983711266e-15,100.0,0.0,30,30.0,46.6091599699399,0.0,100.0,30,0.0,0.0,0.0,0.0
no_lstm,voltage_violation_count,100,12.87,41.13015925084658,0.0,0.0,30,2585.333333333333,792.6501743206613,2543.5,803.0,30,5943.4,443.5360732520661,5863.5,490.5
no_lstm,line_overload_count,100,5.54,6.428189182158236,4.0,6.25,30,0.4666666666666667,1.252124631158585,0.0,0.0,30,101.73333333333332,53.56332593349176,96.0,83.25
no_lstm,switching_operations,100,0.0,0.0,0.0,0.0,30,0.0,0.0,0.0,0.0,30,0.0,0.0,0.0,0.0
no_lstm,number_of_islands,100,1.0,0.0,1.0,0.0,30,1.0,0.0,1.0,0.0,30,1.0,0.0,1.0,0.0
no_lstm,isolated_nodes,100,0.0,0.0,0.0,0.0,30,25.166666666666668,6.868636030504181,25.0,9.75,30,36.833333333333336,2.6792090100513306,38.0,3.0
no_lstm,actions_taken,100,200.0,0.0,200.0,0.0,30,200.0,0.0,200.0,0.0,30,200.0,0.0,200.0,0.0
no_lstm,frequency_deviation_count,100,9667.7,219.52167928650616,9800.0,196.0,30,7898.8,1155.3599648057143,8158.5,1874.25,30,9775.5,107.46924179054434,9800.0,0.0
no_lstm,average_voltage_pu,100,0.9594897959183676,0.0058456281091607,0.961428571428572,0.0,30,0.4721632653061224,0.1336301760126579,0.4756122448979591,0.19,30,0.2447414965986394,0.0526760142686895,0.2220408163265305,0.0587755102040816
no_lstm,minimum_voltage_pu,100,0.8550000000000001,0.2864357773488754,0.95,0.0,30,0.0,0.0,0.0,0.0,30,0.0,0.0,0.0,0.0
no_lstm,maximum_voltage_pu,100,1.0,0.0,1.0,0.0,30,1.0,0.0,1.0,0.0,30,1.0,0.0,1.0,0.0
no_lstm,successful_restoration_count,100,0.0,0.0,0.0,0.0,30,0.0,0.0,0.0,0.0,30,0.0,0.0,0.0,0.0
no_lstm,controller_runtime_s,100,0.115337,0.0070199521567335,0.1154999999999999,0.009625,30,0.14662,0.0176158510125554,0.1462999999999999,0.0214,30,0.12057,0.011849695180133,0.11835,0.017025
no_lstm,runtime_s,100,1.531306,0.0818825086093581,1.5347,0.1265499999999999,30,1.0089233333333332,0.1108071785404355,1.02495,0.1273499999999998,30,0.7959700000000001,0.0713668480458538,0.76935,0.0950999999999999
no_predictive,ens,100,30.0,0.0,30.0,0.0,30,50.0,0.0,50.0,0.0,30,79.66666666666667,1.8257418583505545,80.0,0.0
no_predictive,saidi,100,0.0,0.0,0.0,0.0,30,0.0,0.0,0.0,0.0,30,0.0,0.0,0.0,0.0
no_predictive,saifi,100,0.0612244897959183,6.973850769498386e-18,0.0612244897959183,0.0,30,0.1020408163265305,2.823006427041851e-17,0.1020408163265306,0.0,30,0.1625850340136055,0.0037260037925521,0.1632653061224489,0.0
no_predictive,restoration_time_seconds,100,0.0,0.0,0.0,0.0,30,0.0,0.0,0.0,0.0,30,0.0,0.0,0.0,0.0
no_predictive,critical_load_restored_pct,100,100.0,5.3440020983711266e-15,100.0,0.0,30,30.0,46.6091599699399,0.0,100.0,30,0.0,0.0,0.0,0.0
no_predictive,voltage_violation_count,100,12.87,41.13015925084658,0.0,0.0,30,2585.333333333333,792.6501743206613,2543.5,803.0,30,5943.4,443.5360732520661,5863.5,490.5
