policy,metric,escalation,n_common_seeds,a_median,b_median,median_abs_change,median_rel_change_pct,wilcoxon_stat,wilcoxon_p
full_stack,number_of_islands,A_nominal -> B_moderate,30,1.0,1.0,0.0,0.0,0.0,1.0
full_stack,number_of_islands,A_nominal -> B_severe,30,1.0,1.0,0.0,0.0,0.0,1.0
full_stack,isolated_nodes,A_nominal -> B_moderate,30,0.0,25.0,25.0,,0.0,1.7040659206732472e-06
full_stack,isolated_nodes,A_nominal -> B_severe,30,0.0,38.0,38.0,,0.0,1.138930880390164e-06
full_stack,actions_taken,A_nominal -> B_moderate,30,200.0,200.0,0.0,0.0,0.0,1.0
full_stack,actions_taken,A_nominal -> B_severe,30,200.0,200.0,0.0,0.0,0.0,1.0
full_stack,frequency_deviation_count,A_nominal -> B_moderate,30,9800.0,8158.5,-1543.5,-15.75,0.0,1.7289484360195754e-06
full_stack,frequency_deviation_count,A_nominal -> B_severe,30,9800.0,9800.0,0.0,0.0,18.0,0.016858470670592964
full_stack,average_voltage_pu,A_nominal -> B_moderate,30,0.961428571428572,0.47561224489795917,-0.4761224489795923,-50.02150972667313,0.0,1.7300371292901245e-06
full_stack,average_voltage_pu,A_nominal -> B_severe,30,0.961428571428572,0.22204081632653058,-0.7200000000000005,-76.42980935875218,0.0,1.3877325930952065e-06
full_stack,minimum_voltage_pu,A_nominal -> B_moderate,30,0.95,0.0,-0.95,,0.0,9.633570086430965e-07
full_stack,minimum_voltage_pu,A_nominal -> B_severe,30,0.95,0.0,-0.95,,0.0,9.633570086430965e-07
full_stack,maximum_voltage_pu,A_nominal -> B_moderate,30,1.0,1.0,0.0,0.0,0.0,1.0
full_stack,maximum_voltage_pu,A_nominal -> B_severe,30,1.0,1.0,0.0,0.0,0.0,1.0
full_stack,successful_restoration_count,A_nominal -> B_moderate,30,0.0,0.0,0.0,,0.0,1.0
full_stack,successful_restoration_count,A_nominal -> B_severe,30,0.0,0.0,0.0,,0.0,1.0
full_stack,controller_runtime_s,A_nominal -> B_moderate,30,0.11405,0.4118,0.29405000000000003,261.24189429672833,0.0,1.7343976283205784e-06
full_stack,controller_runtime_s,A_nominal -> B_severe,30,0.11405,0.3516,0.23764999999999997,215.39940465535645,0.0,1.733306644199106e-06
full_stack,runtime_s,A_nominal -> B_moderate,30,1.5944500000000001,1.29735,-0.2805000000000001,-17.137154959381895,39.0,6.892290296834954e-05
full_stack,runtime_s,A_nominal -> B_severe,30,1.5944500000000001,1.12705,-0.44325000000000003,-28.323464779968702,26.0,2.1630223983536902e-05
