stress_level,anchor,other,metric,n_pairs,median_a,median_b,mean_a,mean_b,median_diff,median_rel_diff_pct,wilcoxon_W,wilcoxon_p,ttest_t,ttest_p,cliffs_delta,holm_p,classification
moderate,full_stack,persistence,stress_cumulative_unserved_energy,30,0.0,0.0,6.6112518482176865,6.480048869872104,0.0,0.0,19.0,0.6355861493909851,0.6036980654448885,0.5602237732764839,-0.0011111111111111111,1.0,INCONCLUSIVE
moderate,full_stack,persistence,resilience_time_to_50pct_restoration,30,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,INCONCLUSIVE
moderate,full_stack,persistence,stress_critical_load_restored_pct,30,100.0,100.0,100.0,100.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,INCONCLUSIVE
moderate,full_stack,persistence,saidi,30,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,INCONCLUSIVE
moderate,full_stack,persistence,saifi,30,0.10204081632653061,0.10204081632653061,0.10204081632653061,0.10204081632653061,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,INCONCLUSIVE
moderate,full_stack,persistence,voltage_violation_count,30,0.0,0.0,29.433333333333334,29.433333333333334,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,INCONCLUSIVE
moderate,full_stack,persistence,line_overload_count,30,0.0,0.0,0.3333333333333333,0.23333333333333334,0.0,0.0,1.0,0.18144933362741567,0.7217742609932383,0.4861526116238444,0.034444444444444444,1.0,INCONCLUSIVE
moderate,full_stack,persistence,number_of_islands,30,1.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,INCONCLUSIVE
moderate,full_stack,persistence,resilience_loss_area,30,0.0,0.0,23.736455371831237,23.87071064188178,0.0,0.0,18.0,0.5536169011264054,-0.08810299365507775,0.9322527766079891,0.0033333333333333335,1.0,INCONCLUSIVE
moderate,full_stack,persistence,resilience_time_to_90pct_restoration,30,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,INCONCLUSIVE
