stress_level,controller_label,seed,valid,invalid_reason,n_faults,saifi,saidi,maifi,asai,ens,restoration_time_seconds,critical_load_total_mw,critical_load_restored_mw,critical_load_restored_pct,total_load_mw,successful_restoration_count,n_faults,number_of_islands,isolated_nodes,switching_operations,actions_taken,illegal_actions_attempted,load_shedding_events,battery_dispatch_events,minimum_voltage_pu,maximum_voltage_pu,average_voltage_pu,voltage_violation_count,frequency_deviation_count,line_overload_count,generation_mw,operating_cost_usd,outage_cost_usd,carbon_kg,runtime_s,controller_runtime_s,power_flow_runtime_s,stress_cumulative_unserved_energy,stress_max_unserved_load_mw,stress_cum_unserved_restoration_mw,stress_cum_feasible_restoration_mw,resilience_loss_area,resilience_time_to_50pct_restoration,resilience_time_to_90pct_restoration,stress_critical_load_total_mw,stress_critical_load_interrupted_mw,stress_critical_load_restored_mw,stress_critical_load_restored_pct,stress_restoration_rate,stress_n_faults,stress_n_restored
moderate,rule_based,0,True,,5,0.10204081632653061,0.0,104.0,-4.0,50.0,0.0,1.109,1.109,100.0,24.0674,0,5,1,0,0,200,0,0,0,0.95,1.0,0.961428571428572,0,5096,0,40.934,0.0,0.0,0.0,1.148,0.002,0.4963,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,100.0,0.0,5,0
moderate,rule_based,1,True,,5,0.10204081632653061,0.0,113.0,-4.0,50.0,0.0,1.639,1.639,99.99999999999999,25.0337,0,5,1,0,0,200,0,0,0,0.95,1.0,0.961428571428572,0,5537,0,40.4768,0.0,0.0,0.0,1.1026,0.0036,0.4795,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,100.0,0.0,5,0
moderate,rule_based,2,True,,5,0.10204081632653061,0.0,83.0,-4.0,50.0,0.0,1.5081,1.5081,99.99999999999999,25.7447,0,5,1,1,0,200,0,0,0,0.0,1.0,0.9420408163265311,176,4067,0,38.9948,0.0,0.0,0.0,1.1851,0.006,0.5135,17.205429674585304,0.09945695281777978,0.0,0.0,172.49373434563418,0,0,0.0,0.0,0.0,100.0,0.0,5,0
moderate,full_stack,0,True,,5,0.10204081632653061,0.0,108.0,-4.0,50.0,0.0,1.0333,1.0333,100.0,25.915,0,5,1,0,0,200,0,0,0,0.95,1.0,0.961428571428572,0,5292,0,41.0246,0.0,0.0,0.0,1.5135,0.1499,0.5426,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,100.0,0.0,5,0
moderate,full_stack,1,True,,5,0.10204081632653061,0.0,117.0,-4.0,50.0,0.0,1.0163,1.0163,100.0,23.9717,0,5,1,0,0,200,0,0,0,0.95,1.0,0.961428571428572,0,5733,0,40.3809,0.0,0.0,0.0,1.5174,0.1365,0.5706,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,100.0,0.0,5,0
moderate,full_stack,2,True,,5,0.10204081632653061,0.0,97.0,-4.0,50.0,0.0,1.0397,1.0397,100.0,22.7456,0,5,1,1,0,200,0,0,0,0.0,1.0,0.9420408163265311,176,4753,0,38.5424,0.0,0.0,0.0,1.4048,0.127,0.5075,12.990243458048628,0.09754141270825854,0.0,0.0,132.81664542713247,0,0,0.0,0.0,0.0,100.0,0.0,5,0
severe,persistence,0,True,,8,0.16326530612244897,0.0,200.0,-7.0,80.0,0.0,2.5,0.0,0.0,74.6758,0,8,1,30,0,0,0,0,0,0.0,1.0,0.37795918367346937,5160,9800,181,12.5593,0.0,0.0,0.0,0.6673,0.001,0.2517,5371.9099345098,31.23203450296405,0.0,0.0,171.5,0,0,0.0,2.5,-2.5,100.0,0.0,8,0
severe,persistence,1,True,,8,0.16326530612244897,0.0,200.0,-7.0,80.0,0.0,2.5,0.0,0.0,74.4441,0,8,1,31,0,0,0,0,0,0.0,1.0,0.3585714285714286,5282,9800,179,12.5984,0.0,0.0,0.0,0.6702,0.0,0.2462,5440.198758447375,31.969738765010465,0.0,0.0,169.67266402538917,0,0,0.0,2.5,-2.5,100.0,0.0,7,0
severe,persistence,2,True,,8,0.16326530612244897,0.0,200.0,-7.0,80.0,0.0,2.5,0.0,0.0,74.4804,0,8,1,31,0,0,0,0,0,0.0,1.0,0.3585714285714286,5321,9800,186,10.6524,0.0,0.0,0.0,0.8143,0.0,0.32,5346.149655639459,31.253552375435998,0.0,0.0,170.5573438634554,0,0,0.0,2.5,-2.5,100.0,0.0,8,0
severe,rule_based,0,True,,8,0.16326530612244897,0.0,200.0,-7.0,80.0,0.0,2.5,0.0,0.0,74.6758,0,8,1,30,0,200,0,0,0,0.0,1.0,0.37795918367346937,5160,9800,181,12.5593,0.0,0.0,0.0,1.2791,0.007,0.5261,5371.9099345098,31.23203450296405,0.0,0.0,171.5,0,0,0.0,2.5,-2.5,100.0,0.0,8,0
severe,rule_based,1,True,,8,0.16326530612244897,0.0,200.0,-7.0,80.0,0.0,2.5,0.0,0.0,74.4441,0,8,1,31,0,200,0,0,0,0.0,1.0,0.3585714285714286,5282,9800,179,12.5984,0.0,0.0,0.0,0.779,0.0055,0.2941,5440.198758447375,31.969738765010465,0.0,0.0,169.67266402538917,0,0,0.0,2.5,-2.5,100.0,0.0,7,0
severe,rule_based,2,True,,8,0.16326530612244897,0.0,200.0,-7.0,80.0,0.0,2.5,0.0,0.0,74.4804,0,8,1,31,0,200,0,0,0,0.0,1.0,0.3585714285714286,5321,9800,186,10.6524,0.0,0.0,0.0,0.6912,0.006,0.261,5346.149655639459,31.253552375435998,0.0,0.0,170.5573438634554,0,0,0.0,2.5,-2.5,100.0,0.0,8,0
severe,full_stack,0,True,,8,0.16326530612244897,0.0,200.0,-7.0,80.0,0.0,2.5,0.0,0.0,72.9201,0,8,1,43,0,200,0,0,0,0.0,1.0,0.12224489795918368,7002,9800,65,11.9416,0.0,0.0,0.0,0.9161,0.1532,0.2346,9164.711029694317,57.920088975253634,0.0,0.0,157.73026503999202,0,0,0.0,2.5,-2.5,100.0,0.0,8,0
severe,full_stack,1,True,,8,0.16326530612244897,0.0,200.0,-7.0,80.0,0.0,2.5,0.0,0.0,74.3503,0,8,1,31,0,200,0,0,0,0.0,1.0,0.3585714285714286,5297,9800,180,12.5513,0.0,0.0,0.0,1.0593,0.1534,0.3075,5447.654381677009,31.908072690092443,0.0,0.0,170.2350250521403,0,0,0.0,2.5,-2.5,100.0,0.0,7,0
severe,full_stack,2,True,,8,0.16326530612244897,0.0,200.0,-7.0,80.0,0.0,2.4827,0.0,0.0,73.2722,0,8,1,43,0,200,0,0,0,0.0,1.0,0.12224489795918368,7034,9800,58,10.8022,0.0,0.0,0.0,1.0369,0.1642,0.2846,9224.073010558368,58.27223430289541,0.0,0.0,157.79276362756627,0,0,0.0,2.4827312287899703,-2.4827312287899703,100.0,0.0,8,0
