controller_label,seed,weather_mode,n_faults,n_restored,restoration_rate,avg_restoration_steps,voltage_violation_count,critical_load_interruption_steps,energy_not_served_mwh,customer_minutes_interrupted,n_steps,valid
full_stack,,,3.0,0.0,0.0,,0.0,0.0,1.0585896129508672,,60.0,True
no_lstm,,,3.0,0.0,0.0,,0.0,0.0,1.0818948158809938,,60.0,True
no_twin,,,3.0,0.0,0.0,,0.0,0.0,1.1203872466704456,,60.0,True
no_predictive,,,3.0,0.0,0.0,,0.0,0.0,1.1037283348173403,,60.0,True
no_reward,,,3.0,0.0,0.0,,0.0,0.0,1.0479605189154766,,60.0,True
dqn_core_only,,,3.0,0.0,0.0,,0.0,0.0,0.6349337930847618,,60.0,True
rule_based,,,3.0,0.0,0.0,,0.0,0.0,1.0621715470983695,,60.0,True
random,,,3.0,0.0,0.0,,0.0,0.0,1.0610585097912988,,60.0,True
persistence,,,3.0,0.0,0.0,,0.0,1.2,1.0577839629879158,,60.0,True
