controller_label,n_total_runs,n_valid_runs,actions_taken_mean,actions_taken_std,avg_restoration_steps_mean,avg_restoration_steps_std,critical_load_interruption_steps_mean,critical_load_interruption_steps_std,energy_not_served_mwh_mean,energy_not_served_mwh_std,illegal_actions_attempted_mean,illegal_actions_attempted_std,n_faults_mean,n_faults_std,n_restored_mean,n_restored_std,n_steps_mean,n_steps_std,restoration_rate_mean,restoration_rate_std,total_customer_minutes_interrupted_mean,total_customer_minutes_interrupted_std,voltage_violation_count_mean,voltage_violation_count_std
dqn_core_only,20,20,80.0,0.0,4.8,0.8589399151150083,0.5,1.02469507659596,0.7412668330835009,0.53681735963488,0.0,0.0,3.0,0.0,2.85,0.3570714214271425,80.0,0.0,0.95,0.11902380714238084,44.47600998500998,32.2090415780928,0.0,0.0
full_stack,20,20,80.0,0.0,4.8,0.8589399151150083,0.5,1.02469507659596,1.3439542712060253,0.7503381596916446,0.0,0.0,3.0,0.0,2.85,0.3570714214271425,80.0,0.0,0.95,0.11902380714238084,80.63725627236148,45.020289581498716,0.0,0.0
random,20,20,80.0,0.0,4.8,0.8589399151150083,0.5,1.02469507659596,1.3433055912256067,0.7072668655003275,0.0,0.0,3.0,0.0,2.85,0.3570714214271425,80.0,0.0,0.95,0.11902380714238084,80.59833547353642,42.43601193001968,0.0,0.0
rule_based,20,20,80.0,0.0,4.8,0.8589399151150083,0.5,1.02469507659596,1.3548901594476463,0.704585520801781,0.0,0.0,3.0,0.0,2.85,0.3570714214271425,80.0,0.0,0.95,0.11902380714238084,81.29340956685878,42.27513124810683,0.0,0.0
