stress_level,controller_label,seed,valid,invalid_reason,n_faults,saifi,saidi,maifi,asai,ens,restoration_time_seconds,critical_load_total_mw,critical_load_restored_mw,critical_load_restored_pct,total_load_mw,successful_restoration_count,n_faults,number_of_islands,isolated_nodes,switching_operations,actions_taken,illegal_actions_attempted,load_shedding_events,battery_dispatch_events,minimum_voltage_pu,maximum_voltage_pu,average_voltage_pu,voltage_violation_count,frequency_deviation_count,line_overload_count,generation_mw,operating_cost_usd,outage_cost_usd,carbon_kg,runtime_s,controller_runtime_s,power_flow_runtime_s,stress_cumulative_unserved_energy,stress_max_unserved_load_mw,stress_cum_unserved_restoration_mw,stress_cum_feasible_restoration_mw,resilience_loss_area,resilience_time_to_50pct_restoration,resilience_time_to_90pct_restoration,stress_critical_load_total_mw,stress_critical_load_interrupted_mw,stress_critical_load_restored_mw,stress_critical_load_restored_pct,stress_restoration_rate,stress_n_faults,stress_n_restored
moderate,persistence,13,True,,5,0.10204081632653061,0.0,120.0,-4.0,50.0,0.0,1.3541,0.0,0.0,26.3629,0,5,1,17,0,0,0,0,0,0.0,1.0,0.6316326530612245,2239,5880,0,40.6733,0.0,0.0,0.0,0.6298,0.0003,0.2456,999.5656035556357,7.118997993380952,0.0,0.0,139.90818728773417,0,0,0.0,1.3541004910406444,-1.3541004910406444,100.0,0.0,3,0
moderate,persistence,14,True,,5,0.10204081632653061,0.0,140.0,-4.0,50.0,0.0,0.8669,0.0,0.0,23.0491,0,5,1,28,0,0,0,0,0,0.0,1.0,0.4173469387755102,1656,6860,0,39.7001,0.0,0.0,0.0,0.5827,0.0003,0.2262,786.3782337148195,9.742130405391341,0.0,0.0,80.23254888440844,0,0,0.0,0.8669156667337878,-0.8669156667337878,100.0,0.0,4,0
moderate,persistence,15,True,,5,0.10204081632653061,0.0,148.0,-4.0,50.0,0.0,1.0866,1.0866,100.0,22.0045,0,5,1,15,0,0,0,0,0,0.0,1.0,0.669795918367347,2055,7252,0,38.6858,0.0,0.0,0.0,0.5763,0.0003,0.2208,592.2679529722427,4.59595592364568,0.0,0.0,128.36719603316692,0,0,0.0,0.0,0.0,100.0,0.0,3,0
moderate,persistence,16,True,,5,0.10204081632653061,0.0,177.0,-4.0,50.0,0.0,1.3471,0.0,0.0,22.3145,0,5,1,38,0,0,0,0,0,0.0,1.0,0.22204081632653058,2504,8673,3,38.0554,0.0,0.0,0.0,0.5488,0.0003,0.2086,911.2978176451697,13.676794185407086,0.0,0.0,66.13494275619783,0,0,0.0,1.3471083234190944,-1.3471083234190944,100.0,0.0,5,0
moderate,persistence,17,True,,5,0.10204081632653061,0.0,140.0,-4.0,50.0,0.0,1.3953,0.0,0.0,23.4127,0,5,1,28,0,0,0,0,0,0.0,1.0,0.4173469387755102,3176,6860,0,37.1647,0.0,0.0,0.0,0.5314,0.0003,0.2006,1121.9870368715494,9.998203501106772,0.0,0.0,111.71886379361551,0,0,0.0,1.3952633203494293,-1.3952633203494293,100.0,0.0,4,0
moderate,persistence,18,True,,5,0.10204081632653061,0.0,135.0,-4.0,50.0,0.0,0.7935,0.0,0.0,23.0109,0,5,1,21,0,0,0,0,0,0.0,1.0,0.5538775510204081,2596,6615,0,38.4811,0.0,0.0,0.0,0.5459,0.0004,0.2065,937.647127711769,8.038037634400192,0.0,0.0,116.1512487698422,0,0,0.0,0.7935434286242689,-0.7935434286242689,100.0,0.0,4,0
moderate,persistence,19,True,,5,0.10204081632653061,0.0,128.0,-4.0,50.0,0.0,0.9436,0.0,0.0,24.0779,0,5,1,23,0,0,0,0,0,0.0,1.0,0.5146938775510204,2185,6272,0,37.0813,0.0,0.0,0.0,0.5827,0.0004,0.2232,964.2243173114867,9.38030193833913,0.0,0.0,102.29246058919622,0,0,0.0,0.9436391468691349,-0.9436391468691349,100.0,0.0,5,0
moderate,persistence,20,True,,5,0.10204081632653061,0.0,110.0,-4.0,50.0,0.0,1.5391,1.5391,100.0,24.9082,0,5,1,18,0,0,0,0,0,0.0,1.0,0.6114285714285714,1590,5390,0,39.1256,0.0,0.0,0.0,0.6381,0.0004,0.2468,622.1607997367504,7.774462141015818,0.0,0.0,79.52621769220667,0,0,0.0,0.0,0.0,100.0,0.0,3,0
moderate,persistence,21,True,,5,0.10204081632653061,0.0,109.0,-4.0,50.0,0.0,1.0794,0.0,0.0,22.1837,0,5,1,33,0,0,0,0,0,0.0,1.0,0.31979591836734694,3354,5341,0,34.562,0.0,0.0,0.0,0.549,0.0003,0.2054,1040.494199047688,10.535969814210574,0.0,0.0,98.25637624210952,0,0,0.0,1.0794149937940918,-1.0794149937940918,100.0,0.0,5,0
moderate,persistence,22,True,,5,0.10204081632653061,0.0,180.0,-4.0,50.0,0.0,1.1655,0.0,0.0,21.5499,0,5,1,35,0,0,0,0,0,0.0,1.0,0.2808163265306122,4325,8820,0,37.9855,0.0,0.0,0.0,0.5156,0.0004,0.1884,1104.6382587716876,10.530129456166259,0.0,0.0,104.40346845013379,0,0,0.0,1.1655419174320973,-1.1655419174320973,100.0,0.0,4,0
