controller_label,seed,weather_mode,valid,invalid_reason,faults_n,saifi,saidi,maifi,asai,ens,restoration_time_seconds,critical_load_total_mw,critical_load_restored_mw,critical_load_restored_pct,total_load_mw,successful_restoration_count,n_faults,number_of_islands,isolated_nodes,switching_operations,actions_taken,illegal_actions_attempted,load_shedding_events,battery_dispatch_events,minimum_voltage_pu,maximum_voltage_pu,average_voltage_pu,voltage_violation_count,frequency_deviation_count,line_overload_count,generation_mw,operating_cost_usd,outage_cost_usd,carbon_kg,runtime_s,controller_runtime_s,power_flow_runtime_s
dqn_core_only,3,normal,True,,2,0.04081632653061224,0.0,30.0,-1.0,20.0,0.0,1.1434,1.1434,100.0,21.1932,0,2,1,0,0,30,0,0,0,0.95,1.0,0.961428571428572,0,1470,0,51.3514,0.0,0.0,0.0,0.1709,0.0137,0.065
dqn_core_only,4,normal,True,,2,0.04081632653061224,0.0,30.0,-1.0,20.0,0.0,0.9135,0.9135,100.0,19.7679,0,2,1,0,0,30,0,0,0,0.95,1.0,0.961428571428572,0,1470,9,55.9725,0.0,0.0,0.0,0.1724,0.0181,0.0648
full_stack,0,normal,True,,2,0.04081632653061224,0.0,30.0,-1.0,20.0,0.0,1.1431,1.1431,100.0,20.1552,0,2,1,0,0,30,0,0,0,0.95,1.0,0.961428571428572,0,1470,0,51.5983,0.0,0.0,0.0,0.238,0.0227,0.0729
full_stack,1,normal,True,,2,0.04081632653061224,0.0,30.0,-1.0,20.0,0.0,1.0949,1.0949,100.0,19.3347,0,2,1,0,0,30,0,0,0,0.95,1.0,0.961428571428572,0,1470,5,51.3252,0.0,0.0,0.0,0.1903,0.019,0.0665
full_stack,2,normal,True,,2,0.04081632653061224,0.0,30.0,-1.0,20.0,0.0,1.0405,1.0405,100.0,20.5871,0,2,1,0,0,30,0,0,0,0.0,1.0,0.9420408163265311,24,1470,0,49.2997,0.0,0.0,0.0,0.187,0.0185,0.0644
full_stack,3,normal,True,,2,0.04081632653061224,0.0,30.0,-1.0,20.0,0.0,1.1434,1.1434,100.0,21.1932,0,2,1,0,0,30,0,0,0,0.95,1.0,0.961428571428572,0,1470,0,51.3514,0.0,0.0,0.0,0.2109,0.0131,0.0766
full_stack,4,normal,True,,2,0.04081632653061224,0.0,30.0,-1.0,20.0,0.0,0.9135,0.9135,100.0,19.7679,0,2,1,0,0,30,0,0,0,0.95,1.0,0.961428571428572,0,1470,9,55.9725,0.0,0.0,0.0,0.1852,0.0161,0.0648
no_lstm,0,normal,True,,2,0.04081632653061224,0.0,30.0,-1.0,20.0,0.0,1.1431,1.1431,100.0,20.1552,0,2,1,0,0,30,0,0,0,0.95,1.0,0.961428571428572,0,1470,0,51.5983,0.0,0.0,0.0,0.1871,0.019,0.0657
no_lstm,1,normal,True,,2,0.04081632653061224,0.0,30.0,-1.0,20.0,0.0,1.0949,1.0949,100.0,19.3347,0,2,1,0,0,30,0,0,0,0.95,1.0,0.961428571428572,0,1470,5,51.3252,0.0,0.0,0.0,0.1929,0.0201,0.0703
no_lstm,2,normal,True,,2,0.04081632653061224,0.0,30.0,-1.0,20.0,0.0,1.0405,1.0405,100.0,20.5871,0,2,1,0,0,30,0,0,0,0.0,1.0,0.9420408163265311,24,1470,0,49.2997,0.0,0.0,0.0,0.199,0.019,0.0721
