controller_label,seed,weather_mode,valid,invalid_reason,faults_n,saifi,saidi,maifi,asai,ens,restoration_time_seconds,critical_load_total_mw,critical_load_restored_mw,critical_load_restored_pct,total_load_mw,successful_restoration_count,n_faults,number_of_islands,isolated_nodes,switching_operations,actions_taken,illegal_actions_attempted,load_shedding_events,battery_dispatch_events,minimum_voltage_pu,maximum_voltage_pu,average_voltage_pu,voltage_violation_count,frequency_deviation_count,line_overload_count,generation_mw,operating_cost_usd,outage_cost_usd,carbon_kg,runtime_s,controller_runtime_s,power_flow_runtime_s
full_stack,0,normal,True,,1,0.02040816326530612,0.0,20.0,0.0,10.0,0.0,1.1003,1.1003,100.0,17.2121,0,1,1,0,0,20,0,0,0,0.95,1.0,0.9614285714285714,0,980,0,46.8395,0.0,0.0,0.0,0.085,0.0113,0.0229
full_stack,1,normal,True,,1,0.02040816326530612,0.0,20.0,0.0,10.0,0.0,1.1513,1.1513,100.0,16.9062,0,1,1,0,0,20,0,0,0,0.95,1.0,0.9614285714285714,0,980,0,46.9436,0.0,0.0,0.0,0.0902,0.0103,0.0282
full_stack,2,normal,True,,1,0.02040816326530612,0.0,20.0,0.0,10.0,0.0,1.1999,1.1999,100.0,18.1164,0,1,1,0,0,20,0,0,0,0.95,1.0,0.9614285714285714,0,980,0,45.4299,0.0,0.0,0.0,0.0769,0.0103,0.0242
no_lstm,0,normal,True,,1,0.02040816326530612,0.0,20.0,0.0,10.0,0.0,1.1003,1.1003,100.0,17.2121,0,1,1,0,0,20,0,0,0,0.95,1.0,0.9614285714285714,0,980,0,46.8395,0.0,0.0,0.0,0.0706,0.0091,0.0221
no_lstm,1,normal,True,,1,0.02040816326530612,0.0,20.0,0.0,10.0,0.0,1.1513,1.1513,100.0,16.9062,0,1,1,0,0,20,0,0,0,0.95,1.0,0.9614285714285714,0,980,0,46.9436,0.0,0.0,0.0,0.0752,0.0104,0.0227
no_lstm,2,normal,True,,1,0.02040816326530612,0.0,20.0,0.0,10.0,0.0,1.1999,1.1999,100.0,18.1164,0,1,1,0,0,20,0,0,0,0.95,1.0,0.9614285714285714,0,980,0,45.4299,0.0,0.0,0.0,0.0749,0.0101,0.023
no_twin,0,normal,True,,1,0.02040816326530612,0.0,20.0,0.0,10.0,0.0,1.1003,1.1003,100.0,17.2121,0,1,1,0,0,20,0,0,0,0.95,1.0,0.9614285714285714,0,980,0,46.8395,0.0,0.0,0.0,0.0821,0.0111,0.0245
no_twin,1,normal,True,,1,0.02040816326530612,0.0,20.0,0.0,10.0,0.0,1.1513,1.1513,100.0,16.9062,0,1,1,0,0,20,0,0,0,0.95,1.0,0.9614285714285714,0,980,0,46.9436,0.0,0.0,0.0,0.0829,0.0106,0.0232
no_twin,2,normal,True,,1,0.02040816326530612,0.0,20.0,0.0,10.0,0.0,1.1999,1.1999,100.0,18.1164,0,1,1,0,0,20,0,0,0,0.95,1.0,0.9614285714285714,0,980,0,45.4299,0.0,0.0,0.0,0.119,0.0184,0.0368
