stress_level,controller_label,seed,valid,invalid_reason,n_faults,saifi,saidi,maifi,asai,ens,restoration_time_seconds,critical_load_total_mw,critical_load_restored_mw,critical_load_restored_pct,total_load_mw,successful_restoration_count,n_faults,number_of_islands,isolated_nodes,switching_operations,actions_taken,illegal_actions_attempted,load_shedding_events,battery_dispatch_events,minimum_voltage_pu,maximum_voltage_pu,average_voltage_pu,voltage_violation_count,frequency_deviation_count,line_overload_count,generation_mw,operating_cost_usd,outage_cost_usd,carbon_kg,runtime_s,controller_runtime_s,power_flow_runtime_s,stress_cumulative_unserved_energy,stress_max_unserved_load_mw,stress_cum_unserved_restoration_mw,stress_cum_feasible_restoration_mw,resilience_loss_area,resilience_time_to_50pct_restoration,resilience_time_to_90pct_restoration,stress_critical_load_total_mw,stress_critical_load_interrupted_mw,stress_critical_load_restored_mw,stress_critical_load_restored_pct,stress_restoration_rate,stress_n_faults,stress_n_restored
moderate,no_twin,1,True,,5,0.10204081632653061,0.0,43.0,-4.0,50.0,0.0,1.3405,1.3405,99.99999999999999,18.8609,0,5,1,18,0,50,0,0,0,0.0,1.0,0.6114285714285714,548,2107,0,27.611,0.0,0.0,0.0,0.3147,0.0918,0.0735,125.50405127952294,4.0455972665302795,0.0,3.6530186720568727,30.522378900102918,0,0,0.0,0.0,0.0,100.0,0.0,3,0
moderate,no_predictive,0,True,,5,0.10204081632653061,0.0,42.0,-4.0,50.0,0.0,1.112,1.112,100.0,18.8604,0,5,1,22,0,50,0,0,0,0.0,1.0,0.5330612244897959,578,2058,0,26.4369,0.0,0.0,0.0,0.2952,0.0906,0.0601,141.24270745005904,5.157349311174478,0.9127502016039104,7.261260696406933,26.886686246756085,0,0,0.0,0.0,0.0,100.0,0.0,4,0
moderate,no_predictive,1,True,,5,0.10204081632653061,0.0,43.0,-4.0,50.0,0.0,1.3405,1.3405,99.99999999999999,18.8609,0,5,1,18,0,50,0,0,0,0.0,1.0,0.6114285714285714,548,2107,0,27.611,0.0,0.0,0.0,0.2947,0.0905,0.0604,125.50405127952294,4.0455972665302795,0.0,3.6530186720568727,30.522378900102918,0,0,0.0,0.0,0.0,100.0,0.0,3,0
moderate,no_reward,0,True,,5,0.10204081632653061,0.0,42.0,-4.0,50.0,0.0,1.112,1.112,100.0,18.8604,0,5,1,22,0,50,0,0,0,0.0,1.0,0.5330612244897959,578,2058,0,26.4369,0.0,0.0,0.0,0.3002,0.0917,0.0603,141.24270745005904,5.157349311174478,0.9127502016039104,7.261260696406933,26.886686246756085,0,0,0.0,0.0,0.0,100.0,0.0,4,0
moderate,no_reward,1,True,,5,0.10204081632653061,0.0,43.0,-4.0,50.0,0.0,1.3405,1.3405,99.99999999999999,18.8609,0,5,1,18,0,50,0,0,0,0.0,1.0,0.6114285714285714,548,2107,0,27.611,0.0,0.0,0.0,0.2987,0.093,0.0599,125.50405127952294,4.0455972665302795,0.0,3.6530186720568727,30.522378900102918,0,0,0.0,0.0,0.0,100.0,0.0,3,0
severe,persistence,0,True,,4,0.08163265306122448,0.0,50.0,-3.0,40.0,0.0,2.0272,0.0,0.0,61.8423,0,4,1,26,0,0,0,0,0,0.0,1.0,0.456734693877551,848,2450,15,11.8103,0.0,0.0,0.0,0.1703,0.0001,0.0659,547.0074251283952,20.471781318942686,0.0,0.0,26.25831359800326,0,0,0.0,2.0272179913559354,-2.0272179913559354,100.0,0.0,3,0
severe,persistence,1,True,,4,0.08163265306122448,0.0,50.0,-3.0,40.0,0.0,2.5,0.0,0.0,61.0862,0,4,1,34,0,0,0,0,0,0.0,1.0,0.3006122448979592,889,2450,19,13.0785,0.0,0.0,0.0,0.1233,0.0001,0.0458,752.3253443642164,31.289579893421543,0.0,0.0,23.568477355689147,0,0,0.0,2.5,-2.5,100.0,0.0,3,0
severe,random,0,True,,4,0.08163265306122448,0.0,50.0,-3.0,40.0,0.0,2.0272,0.0,0.0,61.8423,0,4,1,26,0,50,0,0,0,0.0,1.0,0.456734693877551,848,2450,15,11.8103,0.0,0.0,0.0,0.1274,0.0003,0.0472,547.0074251283952,20.471781318942686,0.0,0.0,26.25831359800326,0,0,0.0,2.0272179913559354,-2.0272179913559354,100.0,0.0,3,0
severe,random,1,True,,4,0.08163265306122448,0.0,50.0,-3.0,40.0,0.0,2.5,0.0,0.0,61.0862,0,4,1,34,0,50,0,0,0,0.0,1.0,0.3006122448979592,889,2450,19,13.0785,0.0,0.0,0.0,0.1278,0.0002,0.0474,752.3253443642164,31.289579893421543,0.0,0.0,23.568477355689147,0,0,0.0,2.5,-2.5,100.0,0.0,3,0
severe,rule_based,0,True,,4,0.08163265306122448,0.0,50.0,-3.0,40.0,0.0,2.0272,0.0,0.0,49.7016,0,4,1,26,0,50,0,0,0,0.0,1.0,0.456734693877551,840,2450,16,12.9583,0.0,0.0,0.0,0.1706,0.0009,0.0504,173.29486611011689,7.772714517529801,4.853108893548721,7.334269293791111,21.903390999843882,0,0,0.0,2.0272179913559354,-2.0272179913559354,100.0,0.0,3,0
